ID;NMT;anio;mes;dia;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99;tipo_D;tipo_E;tipo_N;tipo_T;cluster
42249;2;2015;2;27;69.4;76.8;71.3;68.1;61.7;55.8;0.0;0.0;0.0;1.0;0
42370;2;2015;2;28;69.8;77.1;71.3;68.4;64.5;61.1;1.0;0.0;0.0;0.0;2
42371;2;2015;2;28;70.6;78.9;71.4;68.4;64.7;60.6;0.0;1.0;0.0;0.0;2
42372;2;2015;2;28;68.2;74.2;70.0;66.3;61.6;58.6;0.0;0.0;1.0;0.0;1
42373;2;2015;2;28;69.5;76.8;71.0;67.8;63.2;59.5;0.0;0.0;0.0;1.0;0
42494;2;2015;3;1;69.0;76.2;70.6;67.4;63.0;59.5;1.0;0.0;0.0;0.0;2
42495;2;2015;3;1;69.0;76.2;70.9;68.1;64.1;60.4;0.0;1.0;0.0;0.0;2
42496;2;2015;3;1;67.5;73.3;69.9;66.4;61.6;58.6;0.0;0.0;1.0;0.0;1
42497;2;2015;3;1;68.5;75.8;70.4;67.2;62.5;59.2;0.0;0.0;0.0;1.0;0
42591;2;2015;3;2;70.5;76.4;71.9;69.3;66.1;63.6;1.0;0.0;0.0;0.0;2
42592;2;2015;3;2;69.6;77.7;71.2;68.2;64.3;60.9;0.0;1.0;0.0;0.0;2
42593;2;2015;3;2;65.3;72.2;69.0;63.0;55.1;49.9;0.0;0.0;1.0;0.0;1
42594;2;2015;3;2;69.2;75.9;71.3;68.0;59.8;52.0;0.0;0.0;0.0;1.0;0
42715;2;2015;3;3;70.4;76.7;71.9;69.1;65.6;62.5;1.0;0.0;0.0;0.0;2
42716;2;2015;3;3;69.8;76.2;71.2;68.4;64.6;61.5;0.0;1.0;0.0;0.0;2
42717;2;2015;3;3;65.3;72.0;68.5;62.4;55.5;50.9;0.0;0.0;1.0;0.0;1
42718;2;2015;3;3;69.1;75.7;71.2;67.8;59.5;52.6;0.0;0.0;0.0;1.0;0
42839;2;2015;3;4;70.2;76.4;72.0;69.1;66.0;63.5;1.0;0.0;0.0;0.0;2
42840;2;2015;3;4;69.7;76.7;71.5;68.7;64.7;60.5;0.0;1.0;0.0;0.0;2
42841;2;2015;3;4;65.3;72.2;69.0;63.1;55.9;51.5;0.0;0.0;1.0;0.0;1
42842;2;2015;3;4;69.0;75.8;71.3;68.0;60.3;53.2;0.0;0.0;0.0;1.0;0
42963;2;2015;3;5;70.2;76.4;71.9;68.9;65.7;62.6;1.0;0.0;0.0;0.0;2
42964;2;2015;3;5;69.2;75.7;71.1;68.2;64.6;61.2;0.0;1.0;0.0;0.0;2
42965;2;2015;3;5;66.1;72.9;69.4;63.5;56.2;51.3;0.0;0.0;1.0;0.0;1
42966;2;2015;3;5;69.0;75.4;71.2;67.8;60.6;53.4;0.0;0.0;0.0;1.0;0
43087;2;2015;3;6;70.9;78.1;71.9;68.8;65.6;62.2;1.0;0.0;0.0;0.0;2
43088;2;2015;3;6;70.6;78.9;71.7;68.9;66.5;64.1;0.0;1.0;0.0;0.0;2
43089;2;2015;3;6;66.2;72.6;69.2;64.5;58.2;53.8;0.0;0.0;1.0;0.0;1
